"Country.code","Country","Month.code","Month","2017","2018","2019"
2,"Afghanistan",7001,"January",1.201,1.996,2.951
2,"Afghanistan",7002,"February",-0.323,2.705,0.086
2,"Afghanistan",7003,"March",0.834,4.418,0.234
2,"Afghanistan",7004,"April",1.252,1.442,0.899
2,"Afghanistan",7005,"May",3.28,0.855,0.647
2,"Afghanistan",7006,"June",2.002,1.786,-0.289
2,"Afghanistan",7007,"July",0.901,1.815,1.885
2,"Afghanistan",7008,"August",0.102,0.982,0.773
2,"Afghanistan",7009,"September",0.93,1.063,2.004
2,"Afghanistan",7010,"October",2.092,-0.103,1.264
2,"Afghanistan",7011,"November",2.089,0.882,-1.051
2,"Afghanistan",7012,"December",0.441,1.311,1.426
10,"Australia",7001,"January",1.065,1.494,2.727
10,"Australia",7002,"February",0.739,0.999,1.456
10,"Australia",7003,"March",1.682,1.066,1.899
10,"Australia",7004,"April",0.236,2.332,1.292
10,"Australia",7005,"May",1.048,0.644,0.906
10,"Australia",7006,"June",0.526,0.33,0.275
10,"Australia",7007,"July",1.761,1.237,1.47
10,"Australia",7008,"August",1.198,0.191,0.434
10,"Australia",7009,"September",1.474,0.859,1.252
10,"Australia",7010,"October",1.668,1.955,2.119
10,"Australia",7011,"November",1.03,0.929,1.202
10,"Australia",7012,"December",1.306,2.051,3.107
18,"Bhutan",7001,"January",1.893,2.159,1.009
18,"Bhutan",7002,"February",2.534,2.238,1.559
18,"Bhutan",7003,"March",0.002,1.734,1.024
18,"Bhutan",7004,"April",0.526,0.78,0.831
18,"Bhutan",7005,"May",1.045,0.657,1.115
18,"Bhutan",7006,"June",1.157,1.863,2.648
18,"Bhutan",7007,"July",1.263,1.607,1.223
18,"Bhutan",7008,"August",1.515,1.601,2.448
18,"Bhutan",7009,"September",2.028,1.925,0.896
18,"Bhutan",7010,"October",2.097,0.534,1.326
18,"Bhutan",7011,"November",1.606,1.115,2.891
18,"Bhutan",7012,"December",2.774,0.916,0.529
32,"Cameroon",7001,"January",2.17,0.482,1.675
32,"Cameroon",7002,"February",1.126,1.993,1.769
32,"Cameroon",7003,"March",1.328,1.056,2.174
32,"Cameroon",7004,"April",1.272,0.813,2.581
32,"Cameroon",7005,"May",0.881,0.543,1.935
32,"Cameroon",7006,"June",1.128,1.002,1.53
32,"Cameroon",7007,"July",0.971,1.037,1.302
32,"Cameroon",7008,"August",0.791,1.033,1.251
32,"Cameroon",7009,"September",0.665,0.876,1.181
32,"Cameroon",7010,"October",1.237,0.946,0.524
32,"Cameroon",7011,"November",1.292,1.719,2.082
32,"Cameroon",7012,"December",1.598,1.396,1.215
42,"Christmas Island",7001,"January",0.627,0.577,NA
42,"Christmas Island",7002,"February",0.771,0.671,1.471
42,"Christmas Island",7003,"March",0.821,0.921,0.721
42,"Christmas Island",7004,"April",0.237,0.837,0.587
42,"Christmas Island",7005,"May",0.723,0.973,0.873
42,"Christmas Island",7006,"June",0.848,0.198,0.347
42,"Christmas Island",7007,"July",0.335,-0.815,0.235
42,"Christmas Island",7008,"August",0.554,-0.796,0.054
42,"Christmas Island",7009,"September",0.71,-0.94,0.41
42,"Christmas Island",7010,"October",0.42,NA,0.87
42,"Christmas Island",7011,"November",0.662,0.662,0.912
42,"Christmas Island",7012,"December",0.521,0.071,1.471
51,"Czechoslovakia",7001,"January",NA,NA,NA
51,"Czechoslovakia",7002,"February",NA,NA,NA
51,"Czechoslovakia",7003,"March",NA,NA,NA
51,"Czechoslovakia",7004,"April",NA,NA,NA
51,"Czechoslovakia",7005,"May",NA,NA,NA
51,"Czechoslovakia",7006,"June",NA,NA,NA
51,"Czechoslovakia",7007,"July",NA,NA,NA
51,"Czechoslovakia",7008,"August",NA,NA,NA
51,"Czechoslovakia",7009,"September",NA,NA,NA
51,"Czechoslovakia",7010,"October",NA,NA,NA
51,"Czechoslovakia",7011,"November",NA,NA,NA
51,"Czechoslovakia",7012,"December",NA,NA,NA
63,"Estonia",7001,"January",3.249,4.203,1.325
63,"Estonia",7002,"February",3.906,-0.638,6.487
63,"Estonia",7003,"March",4.426,-0.452,4.208
63,"Estonia",7004,"April",0.265,3.045,3.522
63,"Estonia",7005,"May",0.231,4.899,1.202
63,"Estonia",7006,"June",-0.857,0.731,3.095
63,"Estonia",7007,"July",-0.526,3.784,0.184
63,"Estonia",7008,"August",0.907,2.81,1.052
63,"Estonia",7009,"September",1.357,3.161,0.928
63,"Estonia",7010,"October",0.012,1.504,0.932
63,"Estonia",7011,"November",2.099,2.181,2.103
63,"Estonia",7012,"December",4.083,1.514,5.316
74,"Gabon",7001,"January",1.274,0.641,1.074
74,"Gabon",7002,"February",0.811,1.465,1.596
74,"Gabon",7003,"March",1.541,0.542,1.188
74,"Gabon",7004,"April",1.735,0.398,1.501
74,"Gabon",7005,"May",1.439,0.432,1.443
74,"Gabon",7006,"June",0.927,1.58,2.15
74,"Gabon",7007,"July",1.661,1.614,2.361
74,"Gabon",7008,"August",1.678,1.06,2.114
74,"Gabon",7009,"September",1.683,0.918,1.757
74,"Gabon",7010,"October",0.945,0.542,1.006
74,"Gabon",7011,"November",0.591,1.353,1.738
74,"Gabon",7012,"December",0.564,1.1,1.637
175,"Guinea-Bissau",7001,"January",2.123,1.674,1.894
175,"Guinea-Bissau",7002,"February",2.014,0.543,1.832
175,"Guinea-Bissau",7003,"March",1.914,2.273,1.528
175,"Guinea-Bissau",7004,"April",2.557,1.706,2.002
175,"Guinea-Bissau",7005,"May",1.728,0.651,1.133
175,"Guinea-Bissau",7006,"June",2.134,1.625,2.207
175,"Guinea-Bissau",7007,"July",1.687,1.779,1.982
175,"Guinea-Bissau",7008,"August",1.568,1.617,1.711
175,"Guinea-Bissau",7009,"September",2.273,1.331,1.718
175,"Guinea-Bissau",7010,"October",2.649,1.963,1.924
175,"Guinea-Bissau",7011,"November",2.257,1.963,2.326
175,"Guinea-Bissau",7012,"December",1.66,2.353,2.298
264,"Isle of Man",7001,"January",1.613,1.196,1.31
264,"Isle of Man",7002,"February",2.238,-0.477,3.268
264,"Isle of Man",7003,"March",2.528,-0.925,1.846
264,"Isle of Man",7004,"April",1.198,1.18,1.398
264,"Isle of Man",7005,"May",2.275,2.054,0.558
264,"Isle of Man",7006,"June",1.552,2.372,0.175
264,"Isle of Man",7007,"July",0.79,2.356,1.898
264,"Isle of Man",7008,"August",0.389,1.031,1.524
264,"Isle of Man",7009,"September",0.169,-0.13,0.815
264,"Isle of Man",7010,"October",1.585,-0.114,-0.644
264,"Isle of Man",7011,"November",0.421,1.722,-0.088
264,"Isle of Man",7012,"December",0.359,2.318,1.093
119,"Latvia",7001,"January",2.452,4.016,1.89
119,"Latvia",7002,"February",3.528,-0.954,6.413
119,"Latvia",7003,"March",4.64,-0.317,4.6
119,"Latvia",7004,"April",0.118,3.686,3.157
119,"Latvia",7005,"May",0.42,4.687,1.169
119,"Latvia",7006,"June",-0.596,0.984,3.758
119,"Latvia",7007,"July",-0.356,3.405,-0.054
119,"Latvia",7008,"August",1.058,2.843,1.19
119,"Latvia",7009,"September",1.511,3.123,0.895
119,"Latvia",7010,"October",0.182,1.614,1.884
119,"Latvia",7011,"November",2.006,1.319,2.833
119,"Latvia",7012,"December",3.903,1.636,5.327
133,"Mali",7001,"January",0.347,0.362,-0.003
133,"Mali",7002,"February",1.564,0.897,-0.215
133,"Mali",7003,"March",2.567,1.909,0.35
133,"Mali",7004,"April",1.614,1.355,1.794
133,"Mali",7005,"May",1.101,1.236,1.677
133,"Mali",7006,"June",1.21,1.524,2.153
133,"Mali",7007,"July",0.98,1.009,1.426
133,"Mali",7008,"August",1.169,0.681,1.089
133,"Mali",7009,"September",1.86,0.743,1.512
133,"Mali",7010,"October",1.767,1.365,1.165
133,"Mali",7011,"November",1.072,1.547,1.854
133,"Mali",7012,"December",0.434,0.828,1.462
273,"Montenegro",7001,"January",-3.233,3.555,-0.624
273,"Montenegro",7002,"February",3.174,0.334,1.89
273,"Montenegro",7003,"March",3.792,0.926,3.171
273,"Montenegro",7004,"April",0.502,5.301,2.008
273,"Montenegro",7005,"May",1.552,3.621,-1.452
273,"Montenegro",7006,"June",3.076,1.541,3.692
273,"Montenegro",7007,"July",2.83,1.427,1.838
273,"Montenegro",7008,"August",3.916,2.862,3.313
273,"Montenegro",7009,"September",0.376,2.035,2.145
273,"Montenegro",7010,"October",0.562,3.006,3.157
273,"Montenegro",7011,"November",0.108,2.15,3.919
273,"Montenegro",7012,"December",0.784,-0.098,1.979
157,"Nicaragua",7001,"January",0.731,0.453,1.063
157,"Nicaragua",7002,"February",1.385,0.21,1.331
157,"Nicaragua",7003,"March",0.661,0.94,1.032
157,"Nicaragua",7004,"April",1.224,0.861,1.127
157,"Nicaragua",7005,"May",0.979,0.456,1.173
157,"Nicaragua",7006,"June",0.919,1.307,1.874
157,"Nicaragua",7007,"July",0.861,1.379,1.385
157,"Nicaragua",7008,"August",1.204,1.037,1.579
157,"Nicaragua",7009,"September",1.741,1.086,1.829
157,"Nicaragua",7010,"October",0.709,1.293,1.106
157,"Nicaragua",7011,"November",0.113,1.389,1.01
157,"Nicaragua",7012,"December",1.567,0.936,1.128
166,"Panama",7001,"January",1.064,1.571,1.274
166,"Panama",7002,"February",-0.244,0.93,1.57
166,"Panama",7003,"March",0.886,1.144,1.196
166,"Panama",7004,"April",1.483,1.036,1.899
166,"Panama",7005,"May",1.31,0.807,1.27
166,"Panama",7006,"June",0.357,1.487,1.939
166,"Panama",7007,"July",0.701,1.259,1.562
166,"Panama",7008,"August",0.292,1.231,1.2
166,"Panama",7009,"September",1.03,1.485,1.66
166,"Panama",7010,"October",1.312,1.251,0.948
166,"Panama",7011,"November",1.152,NA,1.617
166,"Panama",7012,"December",1.174,0.954,1.577
182,"Réunion",7001,"January",1.17,0.934,1.898
182,"Réunion",7002,"February",0.915,1.129,1.493
182,"Réunion",7003,"March",1.383,0.946,2.21
182,"Réunion",7004,"April",1.353,1.217,2.13
182,"Réunion",7005,"May",1.254,0.967,1.231
182,"Réunion",7006,"June",1.172,1.086,0.999
182,"Réunion",7007,"July",1.537,0.651,1.664
182,"Réunion",7008,"August",1.798,1.761,1.475
182,"Réunion",7009,"September",1.686,1.85,1.663
182,"Réunion",7010,"October",1.974,0.987,2.151
182,"Réunion",7011,"November",1.383,1.396,1.56
182,"Réunion",7012,"December",1.898,1.611,2.411
194,"Saudi Arabia",7001,"January",1.596,0.823,2.676
194,"Saudi Arabia",7002,"February",-1.189,2.848,1.11
194,"Saudi Arabia",7003,"March",1.236,4.034,-0.49
194,"Saudi Arabia",7004,"April",2.839,1.118,0.137
194,"Saudi Arabia",7005,"May",2.272,1.685,1.544
194,"Saudi Arabia",7006,"June",1.99,1.961,2.671
194,"Saudi Arabia",7007,"July",3.294,1.906,1.705
194,"Saudi Arabia",7008,"August",3.213,1.648,1.678
194,"Saudi Arabia",7009,"September",2.202,2.617,2.532
194,"Saudi Arabia",7010,"October",1.527,1.373,2.958
194,"Saudi Arabia",7011,"November",1.826,0.756,1.784
194,"Saudi Arabia",7012,"December",1.309,2.109,1.541
271,"South Georgia and the South Sandwich Islands",7001,"January",-0.013,1.987,1.387
271,"South Georgia and the South Sandwich Islands",7002,"February",0.883,2.083,-0.267
271,"South Georgia and the South Sandwich Islands",7003,"March",-1.425,0.675,-0.125
271,"South Georgia and the South Sandwich Islands",7004,"April",-1.353,1.297,-1.303
271,"South Georgia and the South Sandwich Islands",7005,"May",1.42,-0.23,0.17
271,"South Georgia and the South Sandwich Islands",7006,"June",-0.863,-1.413,-0.013
271,"South Georgia and the South Sandwich Islands",7007,"July",2.212,-0.288,-2.088
271,"South Georgia and the South Sandwich Islands",7008,"August",2.246,1.246,-1.304
271,"South Georgia and the South Sandwich Islands",7009,"September",2.486,0.636,0.036
271,"South Georgia and the South Sandwich Islands",7010,"October",1.311,-0.989,0.611
271,"South Georgia and the South Sandwich Islands",7011,"November",0.815,1.215,1.505
271,"South Georgia and the South Sandwich Islands",7012,"December",2.228,2.378,1.778
216,"Thailand",7001,"January",1.903,1.715,2.136
216,"Thailand",7002,"February",0.741,0.387,2.31
216,"Thailand",7003,"March",0.967,0.448,1.62
216,"Thailand",7004,"April",0.378,-0.239,2.094
216,"Thailand",7005,"May",0.449,0.21,1.54
216,"Thailand",7006,"June",0.796,0.561,1.539
216,"Thailand",7007,"July",0.221,0.454,1.347
216,"Thailand",7008,"August",1.045,0.458,0.766
216,"Thailand",7009,"September",1.257,0.97,0.816
216,"Thailand",7010,"October",1.089,1.374,1.62
216,"Thailand",7011,"November",1.455,2.014,1.683
216,"Thailand",7012,"December",0.878,2.722,1.247
230,"Ukraine",7001,"January",0.069,3.22,1.732
230,"Ukraine",7002,"February",1.917,1.034,4.692
230,"Ukraine",7003,"March",5.68,-1.031,4.518
230,"Ukraine",7004,"April",0.481,4.167,1.429
230,"Ukraine",7005,"May",0.013,3.395,1.882
230,"Ukraine",7006,"June",1.085,1.935,4.269
230,"Ukraine",7007,"July",0.741,1.916,0.34
230,"Ukraine",7008,"August",3.206,2.981,1.712
230,"Ukraine",7009,"September",2.462,2.796,1.61
230,"Ukraine",7010,"October",0.869,2.96,2.864
230,"Ukraine",7011,"November",1.078,-1.112,2.943
230,"Ukraine",7012,"December",4.659,0.422,4.436
242,"Wake Island",7001,"January",0.88,1.18,NA
242,"Wake Island",7002,"February",0.728,0.548,NA
242,"Wake Island",7003,"March",1.033,-0.198,0.683
242,"Wake Island",7004,"April",NA,0.237,1.188
242,"Wake Island",7005,"May",NA,-0.01,0.69
242,"Wake Island",7006,"June",0.484,-0.016,0.734
242,"Wake Island",7007,"July",0.772,-0.408,0.062
242,"Wake Island",7008,"August",0.664,0.624,0.714
242,"Wake Island",7009,"September",0.364,NA,0.864
242,"Wake Island",7010,"October",0.114,-0.006,NA
242,"Wake Island",7011,"November",0.104,0.854,NA
242,"Wake Island",7012,"December",0.992,0.432,-0.258
5104,"Southern Africa",7001,"January",-0.257,1.405,1.172
5104,"Southern Africa",7002,"February",0.194,0.59,1.554
5104,"Southern Africa",7003,"March",0.175,0.366,2.496
5104,"Southern Africa",7004,"April",0.659,1.045,1.808
5104,"Southern Africa",7005,"May",1.366,1.654,2.912
5104,"Southern Africa",7006,"June",1.718,1.629,1.833
5104,"Southern Africa",7007,"July",1.709,1.455,1.87
5104,"Southern Africa",7008,"August",0.734,1.951,2.009
5104,"Southern Africa",7009,"September",2.201,1.323,1.177
5104,"Southern Africa",7010,"October",0.003,1.268,2.144
5104,"Southern Africa",7011,"November",0.286,0.729,2.376
5104,"Southern Africa",7012,"December",0.491,1.581,0.543
5305,"Western Asia",7001,"January",0.748,1.464,2.147
5305,"Western Asia",7002,"February",-0.816,3.055,1.258
5305,"Western Asia",7003,"March",1.444,4.091,0.006
5305,"Western Asia",7004,"April",2.045,1.768,-0.064
5305,"Western Asia",7005,"May",1.809,1.853,1.801
5305,"Western Asia",7006,"June",1.832,1.948,2.878
5305,"Western Asia",7007,"July",2.949,1.996,1.34
5305,"Western Asia",7008,"August",2.85,1.685,1.74
5305,"Western Asia",7009,"September",2.514,2.469,2.123
5305,"Western Asia",7010,"October",1.176,1.656,2.818
5305,"Western Asia",7011,"November",1.341,0.919,1.601
5305,"Western Asia",7012,"December",1.701,1.785,1.691
5801,"Least Developed Countries",7001,"January",1.37,0.462,1.16
5801,"Least Developed Countries",7002,"February",0.979,1.381,1.001
5801,"Least Developed Countries",7003,"March",1.026,1.517,1.38
5801,"Least Developed Countries",7004,"April",1.252,1.037,1.747
5801,"Least Developed Countries",7005,"May",1.329,1,1.573
5801,"Least Developed Countries",7006,"June",1.383,1.205,1.504
5801,"Least Developed Countries",7007,"July",1.287,1.174,1.56
5801,"Least Developed Countries",7008,"August",1.163,1.224,1.417
5801,"Least Developed Countries",7009,"September",1.455,1.304,1.277
5801,"Least Developed Countries",7010,"October",1.399,1.13,1.23
5801,"Least Developed Countries",7011,"November",1.058,1.362,1.823
5801,"Least Developed Countries",7012,"December",1.086,1.193,1.293
